source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_MEAP,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_PARAM,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_OLAP_RLN,,37,28,2022-02-21 22:00:09,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_QUALITYCHECK,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION,,406,32,2025-08-20 22:30:33,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION_DI,,0,0,2022-01-02 10:05:42,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION_DIM,,39,28,2022-02-21 22:00:10,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,AE_RELATION_SMT,,11907,249,2025-08-20 22:31:31,NNC_DATA01,其他,candidate,candidate,非重点 HRP 业务表，保留候选
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_B,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_EQ,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_EX,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_EXT,,0,0,2022-01-02 10:06:37,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_I,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONTRACT_P,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ALI_CONT_ALTER,,0,0,2022-01-02 14:09:46,NNC_DATA01,其他,empty_or_unanalyzed,candidate,统计行数为 0，需确认是否为配置空表
