review_priority,suggested_action_code,source_bucket,owner,table_name,num_rows_stats,inferred_domain,column_count_in_current_file,has_primary_key,dependency_count,review_reason,cleanup_reason,manual_decision,manual_note
P1,REVIEW_INCLUDE,review,HRPSEY656,BD_ADDRESS,8487,其他,15,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PAM_CATEGORY,5926,其他,47,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BD_COUNTRYZONE,238,其他,34,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PAM_ADDREDUCESTYLE,23,其他,21,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,BD_FUNDSOURCE,13,其他,39,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PAM_STATUS,6,其他,40,true,1,?????????1???????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FIP_MESSAGELOG,6884615,其他,19,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SM_MSG_MESSAGETOPUSH,4385609,其他,5,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SN_REF,3562704,其他,44,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_DETAILLEDGER,3114644,其他,178,true,0,?????????????178??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SM_MSG_CONTENT,2890471,其他,31,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,FIP_RELATION,2789025,其他,37,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_FLOWDETAIL,2695436,其他,25,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_ASSISTANTLEDGER,2230170,其他,37,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_FLOW,2179447,其他,165,true,0,?????????????165??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_FLOW20260619,2170050,其他,165,false,0,?????????????165??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_PERIODNAB,2106910,其他,83,false,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_TALLY_AGR,2019574,其他,30,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,ARAP_TALLY,1967176,其他,104,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IC_ATP_F,1962279,其他,50,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_DETAILLEDGER20250425,1897227,其他,178,false,0,?????????????178??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,IA_DETAILLEDGER20250402,1841166,其他,178,false,0,?????????????178??,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,RYHMC,1798838,其他,108,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_ACTINSTANCE,1461099,其他,10,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,SM_MSG_RECEIVER,1452494,其他,5,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_MESSAGEMETA,1445571,其他,15,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WORKFLOWNOTE,1432164,其他,31,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_TASK,1420412,其他,17,true,0,??????????,,,
P1,REVIEW_INCLUDE,review,HRPSEY656,PUB_WF_TASKRECEIVER,1373927,其他,5,true,0,??????????,,,
