owner,table_name,index_name,uniqueness,column_name,column_position
HRPSEY656,ALI_TEMP_SETTLE,PK_ALI_TEMP_SETTLE,UNIQUE,PK_SETTLE,1
HRPSEY656,ALI_TEMP_SETTLE_B,I_ALI_TEMP_SETTLE_B_1,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALI_TEMP_SETTLE_B,I_ALI_TEMP_SETTLE_B_2,NONUNIQUE,EQUIP_CODE,1
HRPSEY656,ALI_TEMP_SETTLE_B,I_ALI_TEMP_SETTLE_B_3,NONUNIQUE,PK_SETTLE,1
HRPSEY656,ALI_TEMP_SETTLE_B,PK_I_TEMP_SETTLE_B,UNIQUE,PK_SETTLE_B,1
HRPSEY656,ALI_WORKLOAD,I_ALI_WORKLOAD_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALI_WORKLOAD,I_ALI_WORKLOAD_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALI_WORKLOAD,I_ALI_WORKLOAD_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALI_WORKLOAD,PK_ALI_WORKLOAD,UNIQUE,PK_WORKLOAD,1
HRPSEY656,ALI_WORKLOAD_B,I_ALI_WORKLOAD_B_1,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALI_WORKLOAD_B,I_ALI_WORKLOAD_B_2,NONUNIQUE,PK_WORKLOAD,1
HRPSEY656,ALI_WORKLOAD_B,I_ALI_WORKLOAD_B_3,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALI_WORKLOAD_B,I_ALI_WORKLOAD_B_4,NONUNIQUE,EQUIP_CODE,1
HRPSEY656,ALI_WORKLOAD_B,PK_ALI_WORKLOAD_B,UNIQUE,PK_WORKLOAD_B,1
HRPSEY656,ALO_CONTRACT,I_ALO_CONTRACT_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_CONTRACT,I_ALO_CONTRACT_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_CONTRACT,I_ALO_CONTRACT_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_CONTRACT,I_ALO_CONTRACT_3,NONUNIQUE,CONTRACT_NO,1
HRPSEY656,ALO_CONTRACT,PK_ALO_CONTRACT,UNIQUE,PK_CONTRACT,1
HRPSEY656,ALO_CONTRACT_B,I_ALO_CONTRACT_B_1,NONUNIQUE,PK_CONTRACT,1
HRPSEY656,ALO_CONTRACT_B,I_ALO_CONTRACT_B_2,NONUNIQUE,PK_CONTRACT_B_OID,1
HRPSEY656,ALO_CONTRACT_B,I_ALO_CONTRACT_B_3,NONUNIQUE,PK_CONTRACT_OID,1
HRPSEY656,ALO_CONTRACT_B,PK_ALO_CONTRACT_B,UNIQUE,PK_CONTRACT_B,1
HRPSEY656,ALO_CONTRACT_E,PK_ALO_CONTRACT_E,UNIQUE,PK_CONTRACT_E,1
HRPSEY656,ALO_CONTRACT_EQ,I_ALO_CONTRACT_EQ_1,NONUNIQUE,PK_CONTRACT_OID,1
HRPSEY656,ALO_CONTRACT_EQ,I_ALO_CONTRACT_EQ_2,NONUNIQUE,PK_CONTRACT,1
HRPSEY656,ALO_CONTRACT_EQ,PK_ALO_CONTRACT_EQ,UNIQUE,PK_CONTRACT_D,1
HRPSEY656,ALO_CONTRACT_EXT,PK_LO_CONTRACT_EXT,UNIQUE,PK_CONTRACT_EXT,1
HRPSEY656,ALO_CONTRACT_I,PK_ALO_CONTRACT_I,UNIQUE,PK_CONTRACT_I,1
HRPSEY656,ALO_CONTRACT_P,PK_ALO_CONTRACT_P,UNIQUE,PK_WARCONTRACT_P,1
HRPSEY656,ALO_CONT_ALTER,I_ALO_CONT_ALTER_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_CONT_ALTER,I_ALO_CONT_ALTER_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_CONT_ALTER,I_ALO_CONT_ALTER_2,NONUNIQUE,BILL_CODE,1
HRPSEY656,ALO_CONT_ALTER,PK_ALO_CONT_ALTER,UNIQUE,PK_CONTALTER,1
HRPSEY656,ALO_CONT_ALTER_B,I_ALO_CONT_ALTER_B_1,NONUNIQUE,PK_EQUIP,1
HRPSEY656,ALO_CONT_ALTER_B,I_ALO_CONT_ALTER_B_2,NONUNIQUE,PK_CONTALTER,1
HRPSEY656,ALO_CONT_ALTER_B,I_ALO_CONT_ALTER_B_3,NONUNIQUE,SRC_PK_BILL,1
HRPSEY656,ALO_CONT_ALTER_B,I_ALO_CONT_ALTER_B_4,NONUNIQUE,SRC_BILL_TYPE,1
HRPSEY656,ALO_CONT_ALTER_B,I_ALO_CONT_ALTER_B_5,NONUNIQUE,SRC_PK_BILL_OID,1
HRPSEY656,ALO_CONT_ALTER_B,PK_LO_CONT_ALTER_B,UNIQUE,PK_CONTALTER_B,1
HRPSEY656,ALO_EXPENSE,I_ALO_EXPENSE_1,NONUNIQUE,PK_ORG,1
HRPSEY656,ALO_EXPENSE,I_ALO_EXPENSE_1,NONUNIQUE,BILLMAKETIME,2
HRPSEY656,ALO_EXPENSE,I_ALO_EXPENSE_2,NONUNIQUE,BILL_CODE,1
