source_system,source_db,owner,table_name,num_rows_stats,inferred_domain,cleanup_decision,column_count_in_current_file,pii_like_columns,semantic_summary,recommendation,reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0U7IM_1611,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0VPHL_1425,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0VSJE_0959,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0WCTJ_1335,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0WSWK_0950,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0XZJ1_1227,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0Z5GS_1930,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;时间:8;金额:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0ZGPV_1015,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_0ZIJH_1944,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_126O5_1526,,其他,exclude_candidate,221,0,其他:146;账号:40;编码:17;金额:8;时间:8;组织科室:2,exclude_log_or_temp,NUM_ROWS缺失; TEMQ临时查询对象
