source_system,source_db,owner,table_name,table_comment,num_rows_stats,blocks,last_analyzed,tablespace_name,inferred_domain,table_role,include_status,exclude_reason,column_count_in_current_file,has_primary_key,has_nonunique_index,cleanup_decision,cleanup_reason
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAPP_FLOWNODEUSER,,0,0,2022-01-02 14:06:29,NNC_DATA01,用户账号,dimension,included,,15,true,true,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAPUB_ARCHIVEBSTYPE,,9,5,2022-01-02 14:06:53,NNC_DATA01,字典/编码,dimension,included,,10,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAPUB_DOCAUTHDEFINE,,1,5,2022-01-02 14:06:53,NNC_DATA01,财务,fact_or_business,included,,9,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OAPUB_DOCAUTHDEFINEPROPERTY,,4,5,2022-01-02 14:06:53,NNC_DATA01,财务,fact_or_business,included,,14,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OA_DEFDOC,,0,0,2022-01-02 14:06:27,NNC_DATA01,字典/编码,dimension,included,,50,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_DEPTHISTORY,,225,28,2025-07-28 22:29:47,NNC_DATA01,科室/组织,dimension,included,,22,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_DEPTOTHER,,0,0,2022-01-02 10:06:51,NNC_DATA01,科室/组织,dimension,included,,6,true,true,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_HRTOADMINORG_RELA,,0,0,2022-01-02 10:06:51,NNC_DATA01,科室/组织,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOB,,326,32,2024-04-19 22:22:39,NNC_DATA01,岗位/职务,dimension,included,,38,true,true,core_keep,核心表白名单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOBLEVEL,,19,5,2023-03-22 22:02:52,NNC_DATA01,岗位/职务,dimension,included,,12,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOBLEVELSYS,,3,5,2023-03-17 22:06:52,NNC_DATA01,岗位/职务,dimension,included,,19,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOBRANK,,29,5,2023-03-22 22:02:52,NNC_DATA01,岗位/职务,dimension,included,,22,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_JOBTYPE,,4,32,2023-06-25 18:06:52,NNC_DATA01,岗位/职务,dimension,included,,30,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_ORGCHART,,1,28,2023-03-22 22:00:39,NNC_DATA01,科室/组织,dimension,included,,10,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_ORGCHART_OPTION,,0,0,2022-01-02 14:09:56,NNC_DATA01,科室/组织,dimension,included,,10,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,OM_POSTSERIES,,20,5,2025-05-31 18:32:21,NNC_DATA01,岗位/职务,dimension,included,,27,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORGTYPE_BUSIREGION,,0,0,2022-01-02 10:05:41,NNC_DATA01,科室/组织,dimension,included,,7,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ACB_ACCCHART,,0,0,2022-01-02 10:05:42,NNC_DATA01,科室/组织,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ACCOUNTINGBOOK,,3,32,2025-06-27 22:14:39,NNC_DATA01,科室/组织,dimension,included,,44,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMINORG,,1,5,2025-09-17 22:19:02,NNC_DATA01,科室/组织,dimension,included,,62,true,true,core_keep,核心表白名单
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMINORGSTRU_V,,0,0,2022-01-02 10:05:42,NNC_DATA01,科室/组织,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMINORG_V,,1,5,2025-09-17 22:19:02,NNC_DATA01,科室/组织,dimension,included,,62,true,true,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMIN_DEPT,,0,0,2022-01-02 14:09:00,NNC_DATA01,科室/组织,dimension,included,,12,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMIN_ENABLE,,1,28,2023-03-10 22:03:14,NNC_DATA01,科室/组织,dimension,included,,4,true,false,core_candidate,
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ADMORGMEMBER_V,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,8,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_AOSMEMBER,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,16,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_AOSMEMBER_V,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,8,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_AOS_V,,0,0,2022-01-02 14:09:01,NNC_DATA01,科室/组织,dimension,included,,9,true,false,core_candidate,NUM_ROWS=0
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,ORG_ASSETORG,,1,28,2025-09-17 22:19:03,NNC_DATA01,科室/组织,dimension,included,,53,true,false,core_candidate,
