source_system,source_db,owner,view_name,text_length,referenced_count,referenced_objects,view_role
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_TPMBT_1517,6192,13,BD_ACCPERIODMONTH;BD_FUNDSOURCE;COST_ACCOUNT;COST_CODEPART;COST_COSTCLASS_H;COST_COSTPRO_H;COST_INCODECLASS_H;COST_INCODEPRO_H;COST_INCOMEBILL_B;COST_INCOMEBILL_H;COST_PARABILL_B;COST_PARABILL_H;COST_SPPARA,exclude_temp_query_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_UGAVB_1110,1219,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_V01EK_1737,1341,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_VR2NZ_1558,6178,13,BD_ACCPERIODMONTH;BD_FUNDSOURCE;COST_ACCOUNT;COST_CODEPART;COST_COSTCLASS_H;COST_COSTPRO_H;COST_INCODECLASS_H;COST_INCODEPRO_H;COST_INCOMEBILL_B;COST_INCOMEBILL_H;COST_PARABILL_B;COST_PARABILL_H;COST_SPPARA,exclude_temp_query_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_W2MU9_1457,4635,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_WKN2X_1046,2054,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_WQS2Z_1738,1341,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_WTZAX_2014,2054,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_WZFXB_1840,1399,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_X6MZ1_1730,1322,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_XBVUY_2010,1341,7,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_XG4SB_1443,4684,5,BD_MATERIAL;BD_STORDOC;IC_ONHANDDIM;IC_ONHANDNUM;SCM_BATCHCODE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_Y6PU2_1704,1266,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_ZEDG2_1523,6202,13,BD_ACCPERIODMONTH;BD_FUNDSOURCE;COST_ACCOUNT;COST_CODEPART;COST_COSTCLASS_H;COST_COSTPRO_H;COST_INCODECLASS_H;COST_INCODEPRO_H;COST_INCOMEBILL_B;COST_INCOMEBILL_H;COST_PARABILL_B;COST_PARABILL_H;COST_SPPARA,exclude_temp_query_view
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_ZMMYV_1153,2181,4,HI_PSNJOB;ORG_DEPT;WA_DATA;WA_WACLASS,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,TEMQ_ZP7D8_2030,1513,8,BD_PSNDOC;FA_CARD;FA_CARDHISTORY;FA_CARDSUB;FA_CATEGORY;ORG_DEPT;TEMP_FA_ASSETSD;TEMP_FA_CAPTIALSOURCE,relationship_seed
HRP,10.10.10.23:1521/hrpdb,HRPSEY656,VIEW_KSCK,1106,5,BD_STORDOC;HI_PSNJOB;IC_MATERIAL_B;IC_MATERIAL_H;ORG_DEPT_V,relationship_seed
