review_priority,suggested_action_code,owner,table_name,table_comment,num_rows_stats,inferred_domain_refined,column_count_in_current_file,has_primary_key,dependency_count,low_row_decision,low_row_reason
P1,REVIEW_INCLUDE,HRPSEY656,CP_PSNDOC_FILESYSTEM,,12919,人员,23,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,TEMP_BD_MATERIAL20230308,,12499,人员,2,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNBANKACC,,9046,人员,14,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_SYSTEMPLATE,,7737,人员,18,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNJOB_20241220,,4620,人员,73,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_BILLTEMPLET,,4546,人员,20,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HR_YLPSNCLINFOSET,,4410,人员,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_PSNJOB,,4167,人员,31,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNJOB,,4098,人员,38,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNJOB_20241220,,3558,人员,38,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,FIP_TEMPLATEROW,,3529,人员,7,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNORG,,3287,人员,25,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNORG_20241220,,3129,人员,25,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNDOC_20241220,,3124,人员,115,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_PSNDOC20230903,,2909,人员,114,false,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_PRINT_TEMPLATE,,2883,人员,42,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_QUERY_TEMPLET,,2579,人员,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_PSNDOC,,2181,人员,48,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_GLBDEF1,,1393,人员,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_WORK,,1249,人员,29,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_MSGTEMP,,1018,人员,21,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_MSGTEMP_VAR,,919,人员,7,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_SYSINITTEMP,,879,人员,28,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,FIP_TRANSTEMPLATE,,862,人员,33,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_MSGTEMP_TYPE,,779,人员,14,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HR_PSNCLINFOSET,,581,人员,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,GFC_TEMPDETAILFEILD,,506,人员,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_GLBDEF4,,466,人员,16,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_APPSNODE,,391,人员,31,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_TEMPLETITEM,,248,人员,9,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_RELAPPSNODE,,222,人员,19,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,SCM_TEMPSAVE,,198,人员,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_QUERY_TEMPLATE,,197,人员,37,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_RETIRE,,197,人员,32,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HI_PSNDOC_GLBDEF3,,184,人员,24,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HR_YLPSNCLRULE,,57,人员,9,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,GFC_TEMPDETAIL,,49,人员,5,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,PUB_REPORT_TEMPLET,,41,人员,11,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,BD_ACCFIELDCTTEMP,,34,人员,12,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,OAFF_TRADETEMPLATE,,33,人员,19,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_SYSINITTEMP,,29,人员,37,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,CP_PRINT_TEMPLATE,,26,人员,38,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,HR_PSNCLRULE,,19,人员,8,true,0,not_applied,
P1,REVIEW_INCLUDE,HRPSEY656,GFC_TEMPLATE,,17,人员,58,true,0,not_applied,
