system_category,source_system,source_system_cn,source_database,schema_name,table_name,table_name_cn,business_domain,table_role,row_count,column_count,include_status,pk,confidence,exclude_reason,ods_same_name_covered,note,source
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DEPT_DICT,科室字典,科室字典,,815,46,core,DEPT_CODE,A,,,含院内 DEPT_CODE/NAME;QMPT 为平台标准(如有),curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PRICE_LIST,价表,,,99554,46,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,AREA_DICT,行政区字典,,,3027,11,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CLINIC_ITEM_DICT,临床诊疗项目字典,,,19062,32,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DOCTOR_GROUP,,,,1150,7,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,LAB_RESULT,检验结果,检验,,96312418,26,core,TEST_NO|ITEM_NO|PRINT_ORDER,A,,,"约1亿行,查询必用 TEST_NO 限定",curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PAT_VISIT,病人住院主记录,就诊,,575041,268,core,PATIENT_ID|VISIT_ID,A,,,住院就诊事实主表;出院时间常用于上报范围,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,MR_BASE_DICT,病案接口公共编码字典,,,573,5,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DRUG_PRESC_MASTER,药品处方主记录,,,6215528,60,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OPERATION_MASTER,手术信息,,,198941,46,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,STAT_VS_CHARGE_TYPE,卫统5医保接口用医疗付款方式(停用，启用新表),,,16,9,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,CLINIC_MASTER,就诊记录,门诊,,5642875,94,core,PATIENT_ID|VISIT_DATE|VISIT_NO,B,,,门诊主线,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,OUTP_RCPT_MASTER,门诊医疗收据记录,门诊费用,,9819756,56,core,RCPT_NO,B,,,,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ADMINISTRATION_DICT,给药途径字典,,,108,11,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,SPECIMAN_DICT,标本字典,,,240,12,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,LAB_TEST_ITEMS,检验项目,检验,,9602577,16,core,TEST_NO|ITEM_NO,A,,,PK_LAB_TEST_ITEMS2=ORDER_ID+ORDER_ITEM_ID,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,STAFF_DICT,工作人员字典,人员字典,,4216,30,core,EMP_NO,A,,,医师工号/姓名/身份证,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,FLJL_copy1,,,,2509,34,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,病房床位费,,,,0,14,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,住院诊查费,,,,0,14,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,基础护理费,,,,0,14,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,防褥疮气垫加收费用,,,,0,15,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,氧气吸入费用,,,,0,19,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,血氧饱和度监测,,,,0,19,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,心电监测费用,,,,0,19,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取疾病健康教育费用,,,,0,29,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取高流量湿化氧疗费用同时收取,,,,0,22,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取疼痛综合评估费用,,,,0,29,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,胃肠减压费用,,,,0,28,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,ACT监测大于1次,,,,0,28,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,心外科收取手术项下ACT监测费用,,,,0,32,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,编码33手术项目中项目名称带腹腔,,,,0,31,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取麻醉中监测费用同时收,,,,0,30,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取冷光源治疗费用,,,,0,27,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取一次性使用呼吸过滤器费用,,,,0,30,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取高频电刀使用费用,,,,0,27,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,未使用双极电凝镊收取费用住院,,,,0,29,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,未使用双极电凝镊收取费用门诊,,,,0,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取高频电刀使用费用同时收取双,,,,0,30,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取尿常规检查加沉渣费用住院,,,,0,39,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取尿常规检查加沉渣费用门诊,,,,0,33,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收取粪便常规费用同时收取隐血试,,,,0,32,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,快速石蜡切片检查住院,,,,0,26,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,快速石蜡切片检查门诊,,,,0,22,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,收射频消融术同时收彩色多普勒超,,,,0,28,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维结肠镜检查住院,,,,0,27,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维结肠镜检查门诊,,,,0,21,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维胃十二指肠镜检查门诊,,,,0,21,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维胃十二指肠镜检查住院,,,,0,27,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,SYS_USER_ROLE,用户角色关系维护表,,,0,3,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,BI_INP_BILL_DAY_DOCTOR_SUM,,,,0,7,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,zy_register_log,HIS 医保登记日志,,,0,11,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,11111,,,,0,4,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DATA_EXT_TEMP,,,,0,6,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,LIS_EXAMINE_ITEM_MAP,LIS本地检验项目与平台检验项目值域对照表,检验,,4698,10,core,,B,,,,curated
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,PUB_SKIN_TEST,皮试记录,,,0,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维结肠镜检查住院_新,,,,0,25,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,纤维胃十二指肠镜检查住院_新,,,,0,25,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,快速石蜡切片检查住院_新,,,,0,24,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,DISPOSAL_LOG,护士站处置操作日志,,,0,11,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,py_temp,,,,0,355,candidate,,,,,,metadata
ods_center,ods_his,HIS 抽取区,data_center_ods,HIS,INP_BILL_DETAIL20260324,,,,2835,74,candidate,,,,,,metadata
