left_table,left_column,right_table,right_column,view_count,edge_count,in_formal_relationships,conditions,views
HIS.ORDERS,VISIT_ID,HIS.PAT_VISIT,VISIT_ID,3,3,Y,T.VISIT_ID = A.VISIT_ID|T.VISIT_ID = PV.VISIT_ID|TTT.VISIT_ID = SW.VISIT_ID,V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_DOC_ORDER_CHECK|V_ESBHL_OUTPUT_DOCADVICE
HIS.PATS_IN_HOSPITAL,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,3,3,Y,AA.PATIENT_ID = T.PATIENT_ID|P.PATIENT_ID = T.PATIENT_ID,PAT_VIEW|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD
HIS.PATS_IN_HOSPITAL,VISIT_ID,HIS.PAT_VISIT,VISIT_ID,3,3,Y,AA.VISIT_ID = T.VISIT_ID|P.VISIT_ID = T.VISIT_ID,PAT_VIEW|V_EMR_ADMISSION_RECORD|V_EMR_DISCHARGE_RECORD
HIS.EXAM_MASTER,EXAM_NO,HIS.EXAM_REPORT,EXAM_NO,2,2,Y,ER.EXAM_NO = EM.EXAM_NO|R.EXAM_NO = T.EXAM_NO,TJZRBL|V_EMR_ADMISSION_RECORD_EXAM
HIS.EXAM_MASTER,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,2,2,Y,A.PATIENT_ID = T.PATIENT_ID|PV.PATIENT_ID = T.PATIENT_ID,V_EMR_ADMISSION_RECORD_EXAM|V_ESBHL_CHECK_ROD
HIS.LAB_RESULT,ITEM_NO,HIS.LAB_TEST_ITEMS,ITEM_NO,2,2,Y,LTI.ITEM_NO = LR.ITEM_NO,V_EMR_INSPECTION_ALLERGY_TEST|V_EMR_INSPECTION_ITEM_TEST
HIS.OUTP_BILL_ITEMS,RCPT_NO,HIS.OUTP_RCPT_MASTER,RCPT_NO,2,2,Y,B.RCPT_NO = A.RCPT_NO|RM.RCPT_NO = OBI.RCPT_NO,V_EMR_OUT_FEE_INFO_CHILD|V_EMR_OUT_FEE_INFO_MAIN
MTL.EMRSD_CONTENT,UHID,MTL.EPR_INPATIENT,UHID,2,2,Y,T4.UHID = T1.UHID,V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_INFOR_OPERATION
HIS.EXAM_MASTER,VISIT_ID,HIS.PAT_VISIT,VISIT_ID,1,1,Y,A.VISIT_ID = T.VISIT_ID,V_ESBHL_CHECK_ROD
HIS.LAB_RESULT,TEST_NO,HIS.LAB_TEST_ITEMS,TEST_NO,1,1,Y,LTI.TEST_NO = LR.TEST_NO,V_EMR_INSPECTION_ALLERGY_TEST
HIS.LAB_RESULT,TEST_NO,HIS.LAB_TEST_MASTER,TEST_NO,1,1,Y,LTM.TEST_NO = LR.TEST_NO,V_EMR_INSPECTION_ALLERGY_TEST
HIS.LAB_TEST_MASTER,PATIENT_ID,HIS.PAT_VISIT,PATIENT_ID,1,1,Y,A.PATIENT_ID = T.PATIENT_ID,V_ESBHL_INSPECTION_ROD
HIS.PAT_VISIT,DOCTOR_IN_CHARGE,HIS.STAFF_DICT,EMP_NO,1,1,Y,YG.EMP_NO = P.DOCTOR_IN_CHARGE,V_EMR_INFOR_OPERATION
HIS.PAT_VISIT,PATIENT_ID,MTL.EPR_INPATIENT_DOCINDEX,P_CLINIC_ID,1,1,Y,PV.PATIENT_ID = T.P_CLINIC_ID,V_EMR_HOS_PREOP_DISCUSS
JHEMR.JHMR_FILE_CONTENT_TEXT,FILE_UNIQUE_ID,JHEMR.JHMR_FILE_INDEX,FILE_UNIQUE_ID,1,1,Y,A.FILE_UNIQUE_ID = B.FILE_UNIQUE_ID,CDR_EMR_DOCUMENT
