schema,table,domain,classify_reason,referenced_by_ods_view_count,referenced_by_ods_views,row_count_stats,column_count,comment
HIS,收取临床操作的彩色多普勒,未分类,no_rule,0,,0,67,
HIS,术中体温监测,未分类,no_rule,0,,0,65,
HIS,DW_PROJECT_INFO,未分类,no_rule,0,,0,53,对照目录-省二
HIS,YYXMBM0401,未分类,no_rule,0,,0,4,
HIS,冠状动脉成像时同时收取增强扫描,未分类,no_rule,0,,0,65,
HIS,不得重复收取气管切开护理,未分类,no_rule,0,,0,65,
HIS,不得重复收取一般专项护理,未分类,no_rule,0,,0,65,
HIS,收取心肺复苏术费用同时收气管,未分类,no_rule,0,,0,65,
HIS,DW_PROJECT_DOWNLOAD_LOG0401,未分类,no_rule,0,,944,9,
HIS,重复收取局部浸润麻醉,未分类,no_rule,0,,0,65,
HIS,乳腺肿物切除术,未分类,no_rule,0,,0,65,
HIS,血清总蛋白测定超1次收费,未分类,no_rule,0,,0,65,
HIS,血清天门冬氨酸氨基转移酶测定,未分类,no_rule,0,,0,65,
HIS,C反应蛋白,未分类,no_rule,0,,0,65,
HIS,BNP,未分类,no_rule,0,,0,65,
HIS,不得收取麻醉中监测费用,未分类,no_rule,0,,0,65,
HIS,肿瘤标志物,未分类,no_rule,0,,0,66,
HIS,日常生活能力评定,未分类,no_rule,0,,0,65,
HIS,孕酮测定限女性,未分类,no_rule,0,,0,65,
HIS,游离前列腺特异性抗原测定,未分类,no_rule,0,,0,65,
HIS,BED_REC_LOG,科室/组织,name_pattern:DEPT/WARD/BED/ROOM,0,,0,9,床位状态变更记录
HIS,TMEP1,未分类,no_rule,0,,0,10,
HIS,水合氯醛糖浆组合包装违规记录表,未分类,no_rule,0,,0,65,
HIS,七叶皂苷注射液,未分类,no_rule,0,,0,65,
HIS,整蛋白型肠内营养剂,未分类,no_rule,0,,0,65,
HIS,复方氨基酸注射液,未分类,no_rule,0,,0,65,
HIS,单方,未分类,no_rule,0,,0,65,
HIS,中长链脂肪乳注射液,未分类,no_rule,0,,0,65,
HIS,妇科特殊治疗限女性,未分类,no_rule,0,,0,65,
HIS,盐酸坦索罗辛缓释胶囊女用男药,未分类,no_rule,0,,0,65,
HIS,黄体酮注射液限女性,未分类,no_rule,0,,0,65,
HIS,阴囊坏死扩创术限男性,未分类,no_rule,0,,0,65,
HIS,大关节松动训练单日计费大于1,未分类,no_rule,0,,0,65,
HIS,乳腺肿物穿刺术计价为次,未分类,no_rule,0,,0,65,
HIS,言语训练单日计费大于1,未分类,no_rule,0,,0,65,
HIS,运动疗法每日支付不超过2次,未分类,no_rule,0,,0,65,
