table_pair,left_table,right_table,view_count,edge_count,field_pairs,in_formal_relationships,views
MTL.EMRSD36 <-> MTL.EPR_INPATIENT,MTL.EMRSD36,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_ADMISSION_DEAD_RECORD_TF
MTL.EMRSD40 <-> MTL.EMRSD_CONTENT,MTL.EMRSD40,MTL.EMRSD_CONTENT,1,1,段落编号=段落编号,N,V_EMR_HOS_DIFFIC_CASE_DISCUSS
MTL.EMRSD40 <-> MTL.EPR_INPATIENT,MTL.EMRSD40,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_HOS_DIFFIC_CASE_DISCUSS
MTL.EMRSD41 <-> MTL.EPR_INPATIENT,MTL.EMRSD41,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_HOS_SUCCESSION_RECORD
MTL.EMRSD44 <-> MTL.EPR_INPATIENT,MTL.EMRSD44,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_HOS_SAVE_RECORD
MTL.EMRSD47 <-> MTL.EPR_INPATIENT,MTL.EMRSD47,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_HOS_PREOP_DISCUSS
MTL.EMRSD51 <-> MTL.EMRSD_CONTENT,MTL.EMRSD51,MTL.EMRSD_CONTENT,1,1,段落编号=段落编号,N,V_EMR_HOS_DND_RECORD
MTL.EMRSD51 <-> MTL.EPR_INPATIENT,MTL.EMRSD51,MTL.EPR_INPATIENT,1,1,段落编号=ID,N,V_EMR_HOS_DND_RECORD
PACS.EXAMINFO <-> PACS.PATIENTINFO,PACS.EXAMINFO,PACS.PATIENTINFO,1,1,PATIENTVARCHARRAID=PATIENTINTRAID,N,EXAM_REPORT
PACS.EXAMINFO <-> PACS.PROCEDURESTEPINFO,PACS.EXAMINFO,PACS.PROCEDURESTEPINFO,1,1,PROCEDURESTEPID=PROCEDURESTEPID,N,EXAM_REPORT
PACS.EXAMINFO <-> PACS.REPORT,PACS.EXAMINFO,PACS.REPORT,1,1,REPORTID=REPORTID,N,EXAM_REPORT
PACS.PROCEDUREINFO <-> PACS.PROCEDURESTEPINFO,PACS.PROCEDUREINFO,PACS.PROCEDURESTEPINFO,1,1,PROCEDUREID=PROCEDUREID,N,EXAM_REPORT
SX.B_T_REACTIONS <-> SX.B_T_REQD,SX.B_T_REACTIONS,SX.B_T_REQD,1,1,SQLSH=SQLSH,N,V_EMR_INFOR_TRANS_BLOOD
SX.B_T_REACTIONS <-> SX.B_T_XYXXB,SX.B_T_REACTIONS,SX.B_T_XYXXB,1,1,PK_NO=PK_NO,N,V_EMR_INFOR_TRANS_BLOOD
SX.B_T_REQD <-> SX.B_T_XYXXB,SX.B_T_REQD,SX.B_T_XYXXB,1,1,SQLSH=XYHZSQDH,N,V_EMR_INFOR_TRANS_BLOOD
UNKNOWN.CDA_VALUE_DOMAIN_MAP <-> UNKNOWN.DOC_REGISTER_EMP_MATCH,UNKNOWN.CDA_VALUE_DOMAIN_MAP,UNKNOWN.DOC_REGISTER_EMP_MATCH,1,1,EMP_NO=DOCTOR_USER,N,V_EMR_DOC_ORDER_DRUG
XD.REPORT_TBL <-> XD.STUDY_TBL,XD.REPORT_TBL,XD.STUDY_TBL,1,1,STUDY_SEQ=STUDY_SEQ,N,JC_DETAIL
YDHL.INPATIENTS <-> YDHL.MCS_DOC_FORM,YDHL.INPATIENTS,YDHL.MCS_DOC_FORM,1,1,PATIENT_UID=PAT_INDEX_NO,N,T_ESBHL_VAGINAL_DEL_ROD
HIS.PAT_MASTER_INDEX <-> HIS.PAT_VISIT,HIS.PAT_MASTER_INDEX,HIS.PAT_VISIT,25,25,PATIENT_ID=PATIENT_ID,Y,EMR_HOS_CHANGE_MAJOR_RECORD|PAT_VIEW|V_EMR_ADMISSION_DEAD_RECORD_TF|V_EMR_ADMISSION_RECORD|V_EMR_ANESTHESIA_RECORD|V_EMR_BOFORE_OPERA_RECORD|V_EMR_DEATH_RECORD|V_EMR_DISCHARGE_RECORD|V_EMR_HOS_CHANGE_MAJOR_RECORD|V_EMR_HOS_DIFFIC_CASE_DISCUSS|V_EMR_HOS_DND_RECORD|V_EMR_HOS_POSTOPER_RECORD|V_EMR_HOS_SAVE_RECORD|V_EMR_HOS_SUCCESSION_RECORD|V_EMR_ICH|V_EMR_ICH_ALLERGIES|V_EMR_ICH_CHARGE|V_EMR_INFOR_CRITICALLY_ILL|V_EMR_INFOR_OPERATION|V_EMR_INFOR_OTHERS|V_EMR_INFOR_SPEC_EXAM_TREAT|V_EMR_INFOR_TRANS_BLOOD|V_EMR_MEDICAL_RECORD_INFO|V_EMR_OPERA_RECORD|V_ESBHL_OUTPUT_SUMMARY
