source_db,source_owner,table_name,full_name,domain,table_role,include_status,exclude_reason,include_note,num_rows_stats,column_count,primary_key,ods_same_name_covered,ods_field_coverage_ratio
10.10.10.15:1521/his,COMM,CLINIC_TYPE_DICT,COMM.CLINIC_TYPE_DICT,字典,dimension,included,,基础字典/维表,36,8,CLINIC_TYPE+CHARGE_ITEM,false,0
10.10.10.15:1521/his,COMM,CLINIC_TYPE_SETTING,COMM.CLINIC_TYPE_SETTING,字典,dimension,included,,基础字典/维表,36,7,,false,0
10.10.10.15:1521/his,COMM,CLINIC_VS_CHARGE,COMM.CLINIC_VS_CHARGE,费用,dimension,included,,基础字典/维表,23756,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,true,1.0
10.10.10.15:1521/his,COMM,CLINIC_VS_CHARGE_20250630,COMM.CLINIC_VS_CHARGE_20250630,费用,dimension,included,,基础字典/维表,21,12,,false,0
10.10.10.15:1521/his,COMM,CLINIC_VS_CHARGE_20260131,COMM.CLINIC_VS_CHARGE_20260131,费用,dimension,included,,基础字典/维表,21265,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,false,0
10.10.10.15:1521/his,COMM,CLINIC_VS_CHARGE_20260331,COMM.CLINIC_VS_CHARGE_20260331,费用,dimension,included,,基础字典/维表,23491,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,false,0
10.10.10.15:1521/his,COMM,CONTAGION_DICT,COMM.CONTAGION_DICT,字典,dimension,included,,基础字典/维表,0,6,CONTAGIONCODE,false,0
10.10.10.15:1521/his,COMM,COST_CYCLE_DICT,COMM.COST_CYCLE_DICT,费用,dimension,included,,基础字典/维表,0,4,ID,false,0
10.10.10.15:1521/his,COMM,COST_DRUG_DEPT_PERCENT,COMM.COST_DRUG_DEPT_PERCENT,费用,dimension,included,,基础字典/维表,0,4,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,COST_REPORT_EXPRESSIONS,COMM.COST_REPORT_EXPRESSIONS,检查,dimension,included,,基础字典/维表,0,6,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,COST_STAFF_DEDUCT_PERCENT,COMM.COST_STAFF_DEDUCT_PERCENT,费用,dimension,included,,基础字典/维表,0,5,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,COST_SUBJECT_PERCENT,COMM.COST_SUBJECT_PERCENT,费用,dimension,included,,基础字典/维表,0,6,SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,COUNTRY_DICT,COMM.COUNTRY_DICT,字典,dimension,included,,基础字典/维表,41,10,COUNTRY_CODE,true,1.0
10.10.10.15:1521/his,COMM,COUNTRY_DICT_DRGS,COMM.COUNTRY_DICT_DRGS,字典,dimension,included,,基础字典/维表,240,5,COUNTRY_CODE,false,0
10.10.10.15:1521/his,COMM,CURE_CLASS_DICT,COMM.CURE_CLASS_DICT,字典,dimension,included,,基础字典/维表,0,4,CURE_CLASS_CODE,false,0
10.10.10.15:1521/his,COMM,CVR$STAFF_DICT,COMM.CVR$STAFF_DICT,组织人员,dimension,included,,基础字典/维表,0,3,,false,0
10.10.10.15:1521/his,COMM,DATASOURCE,COMM.DATASOURCE,公共字典/基础资料,dimension,included,,基础字典/维表,174,3,,false,0
10.10.10.15:1521/his,COMM,DATAWINDOW_UI_CONTROL,COMM.DATAWINDOW_UI_CONTROL,公共字典/基础资料,dimension,included,,基础字典/维表,50,9,APP_NAME+LAYER_NAME+DEPT_CODE+EMP_NO,false,0
10.10.10.15:1521/his,COMM,DATA_ASKALL_DICT,COMM.DATA_ASKALL_DICT,字典,dimension,included,,基础字典/维表,0,10,ITEM_FLAG+ITEM_CODE,false,0
10.10.10.15:1521/his,COMM,DATA_ASK_STRU,COMM.DATA_ASK_STRU,公共字典/基础资料,dimension,included,,基础字典/维表,0,42,TAB_NAME+BRANCH_CODE+REPORT_NO+SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,DATA_ASK_TABFMT,COMM.DATA_ASK_TABFMT,公共字典/基础资料,dimension,included,,基础字典/维表,0,42,TAB_NAME+BRANCH_CODE+REPORT_NO+SERIAL_NO,false,0
10.10.10.15:1521/his,COMM,DATA_ASK_TABHDS,COMM.DATA_ASK_TABHDS,公共字典/基础资料,dimension,included,,基础字典/维表,0,30,TAB_NAME+BRANCH_CODE+REPORT_NO,false,0
10.10.10.15:1521/his,COMM,DAY_OF_WEEK_DICT,COMM.DAY_OF_WEEK_DICT,字典,dimension,included,,基础字典/维表,7,3,DAY_NUMBER,false,0
10.10.10.15:1521/his,COMM,DEPT_CLINIC_ATTR_DICT,COMM.DEPT_CLINIC_ATTR_DICT,组织人员,dimension,included,,基础字典/维表,6,4,CLINIC_ATTR_CODE,true,1.0
10.10.10.15:1521/his,COMM,DEPT_CODE_VS_FACTID,COMM.DEPT_CODE_VS_FACTID,组织人员,dimension,included,,基础字典/维表,0,2,DEPT_CODE,false,0
10.10.10.15:1521/his,COMM,DEPT_CORE_DICT,COMM.DEPT_CORE_DICT,组织人员,dimension,included,,基础字典/维表,10,3,DEPT_NAME_D,false,0
10.10.10.15:1521/his,COMM,DEPT_DICT,COMM.DEPT_DICT,组织人员,dimension,included,,科室字典，用户确认纳入,812,46,DEPT_CODE,true,1.0
10.10.10.15:1521/his,COMM,DEPT_DICT_ZQFY,COMM.DEPT_DICT_ZQFY,组织人员,dimension,included,,基础字典/维表,0,6,,false,0
10.10.10.15:1521/his,COMM,DEPT_FACTINFO_DICT,COMM.DEPT_FACTINFO_DICT,组织人员,dimension,included,,基础字典/维表,0,2,DEPT_FACTID,false,0
10.10.10.15:1521/his,COMM,DEPT_IS_ATTR_DICT,COMM.DEPT_IS_ATTR_DICT,组织人员,dimension,included,,基础字典/维表,4,4,IS_ATTR_CODE,false,0
10.10.10.15:1521/his,COMM,DEPT_OI_ATTR_DICT,COMM.DEPT_OI_ATTR_DICT,组织人员,dimension,included,,基础字典/维表,4,4,OI_ATTR_CODE,false,0
10.10.10.15:1521/his,COMM,DEPT_QUERY_DICT,COMM.DEPT_QUERY_DICT,组织人员,dimension,included,,基础字典/维表,31,3,DEPT_CODE,false,0
10.10.10.15:1521/his,COMM,DEPT_VS_CORE_DICT,COMM.DEPT_VS_CORE_DICT,组织人员,dimension,included,,基础字典/维表,155,5,,false,0
10.10.10.15:1521/his,COMM,DEPT_VS_WARD,COMM.DEPT_VS_WARD,组织人员,dimension,included,,基础字典/维表,187,2,DEPT_CODE+WARD_CODE,true,1.0
10.10.10.15:1521/his,COMM,DEPT_VS_WARD_NEW,COMM.DEPT_VS_WARD_NEW,组织人员,dimension,included,,基础字典/维表,229,3,,true,1.0
10.10.10.15:1521/his,COMM,DEPT_YYDJ,COMM.DEPT_YYDJ,组织人员,dimension,included,,基础字典/维表,134,3,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_CHRONIC,COMM.DIAGNOSIS_CHRONIC,诊断,dimension,included,,基础字典/维表,260,2,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT,COMM.DIAGNOSIS_DICT,诊断,dimension,included,,诊断字典，用户确认纳入,50220,34,,true,1.0
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT_BK_20210209,COMM.DIAGNOSIS_DICT_BK_20210209,诊断,excluded,excluded,临时/备份/测试表，第一版排除,,27599,21,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT_BK_20210808,COMM.DIAGNOSIS_DICT_BK_20210808,诊断,excluded,excluded,临时/备份/测试表，第一版排除,,25924,21,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT_BK_20220822,COMM.DIAGNOSIS_DICT_BK_20220822,诊断,excluded,excluded,临时/备份/测试表，第一版排除,,27546,24,,false,0
10.10.10.15:1521/his,COMM,DIAGNOSIS_DICT_CHINA,COMM.DIAGNOSIS_DICT_CHINA,诊断,dimension,included,,基础字典/维表,7078,24,,false,0
