system_code,source_code,schema_name,table_name,object_type,comment,column_count,pk,documented
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_consult_hospital,TABLE,会诊管理-业务类-外院会诊医院信息表,5,"id,hospital_name",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_contagion_diagnosis,TABLE,上报卡管理-映射类-诊断关联模块,6,"mr_code,diagnosis_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_contagion_exam,TABLE,上报卡管理-映射类-检查关键字关联模板,5,mr_code,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_contagion_operation,TABLE,上报卡管理-映射类-模板关联手术,6,"mr_class,operation_code,mr_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_custom_columns_order,TABLE,模块自定义列表顺序,11,"application,user_id,columns_name,order_type",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_custom_columns_order_dict,TABLE,,18,"user_id,columns_name,order_type,application_id,columns_text",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dead_print_pic,TABLE,死亡证明-业务类-死亡证书打印证书图片记录,5,"patient_id,visit_id",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dead_print_record,TABLE,死亡证明-业务类-死亡证书打印记录表,11,"patient_id,visit_id,print_times",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dead_reason_custom_dict,TABLE,死亡证明-字典类-患者死亡原因字典表,5,diagnosis_code,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_deadcertificate_no,TABLE,死亡证明-业务类-死亡证书填报明细,10,"certificate_no,sect_id",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_deadcertificate_redno,TABLE,死亡证明-业务类-死亡证书红号使用记录表,10,"certificate_no,sect_id",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dept_clinic_icd,TABLE,诊断手术-映射类-科室对照诊断,5,"diagnosis_name,diagnosis_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_diagdetail_catalog_dict,TABLE,病历诊断-配置类-病历诊断格式详细信息配置表,57,diagsort,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_diagnose_item_dict,TABLE,病历诊断-配置类-诊断格式类型配置表,12,"hospital_no,field_name,item_value",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_diagtype_catalog_dict,TABLE,病历诊断-配置类-诊断格式详细信息配置表,14,"diag_type,file_type",False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dict_detail,TABLE,字典明细表,11,"dict_code,class_code,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dict_detail_1121back,TABLE,,10,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_dict_master,TABLE,系统字典-字典类-电子病历主字典类别表,7,class_code,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_doctor_custom_dict,TABLE,病历诊断-映射类-科室临床映射表,3,"dept_code,hospital_no,serial_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_doctor_group,TABLE,,4,"request_doctor_id,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_event_file_elem,TABLE,不良事件管理-业务类-不良事件报卡内容表,6,event_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_event_master,TABLE,不良事件管理-业务类-不良事件报卡索引表,26,event_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_button_list,TABLE,病案首页-配置类-首页个性化业务按钮配置,13,button_id,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_column_dict,TABLE,病案首页-配置类-首页GridControl类数据列显示配置,31,"controlno,control_type",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_column_dict_0513,TABLE,,31,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_column_dict_0519,TABLE,,31,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_column_dict_bf,TABLE,,31,,False
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_column_index,TABLE,病案首页-映射类-首页实体类与UC的映射,8,"control_type,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_config,TABLE,病案首页-配置类-病案首页配置,8,"type_code,item_code,item_no,hospital_no",True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_control_color,TABLE,病案首页-配置类-控件颜色,2,category,True
JHEMR_VASTBASE,jhemr_vastbase_10_10_8_177,jhemr,emr_first_page_control_config,TABLE,病案首页-配置类-控件配置,6,control_id,True
