from_table,to_table,relation_type,confidence,validation_level,validation_status,note
jhemr.dept_dict,jhemr.mt_medical_record_first_patient,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit1,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.diagnosis,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_master_index,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.mt_medical_record_first_patient_d,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_templet_class,jhemr.mt_patient_progress,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.mt_patient_progress,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhfile.jhmr_file_content_text,jhemr.mt_patient_progress,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.jhmr_file_index,jhemr.mt_patient_progress,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.dept_dict,jhemr.r_dept_level_dict,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.emr_first_page_item_dict,jhemr.v_hisshouye1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_visit,jhemr.v_hisshouye1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
jhemr.pat_diagnosis,jhemr.v_hisshouye1,view_dependency,B,static_view_sql,candidate,Vastbase pg_views definition; source database read-only metadata
