system_code,source_code,source_db,source_owner,namespace_name,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,last_analyzed,column_count,primary_key,primary_key_status,unique_key_count,scope_note
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20250630,COMM.CLINIC_ITEM_DICT_20250630,,字典,dimension,included,active,approved,21,2025-06-30T22:00:08,29,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20260131,COMM.CLINIC_ITEM_DICT_20260131,临床诊疗项目字典,字典,dimension,included,active,approved,16459,2026-01-31T18:02:16,31,ITEM_CLASS+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20260331,COMM.CLINIC_ITEM_DICT_20260331,临床诊疗项目字典,字典,dimension,included,active,approved,18768,2026-03-31T22:00:11,32,ITEM_CLASS+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING,COMM.CLINIC_ITEM_MAPPING,诊疗项目与其他平台编码对照表,公共字典/基础资料,dimension,included,active,approved,522,2026-06-23T22:03:09,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_0509,COMM.CLINIC_ITEM_MAPPING_0509,诊疗项目与其他平台编码对照表,公共字典/基础资料,dimension,included,active,approved,524,2025-05-09T22:00:03,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_20260507,COMM.CLINIC_ITEM_MAPPING_20260507,诊疗项目与其他平台编码对照表,公共字典/基础资料,dimension,included,active,approved,410,2026-05-07T22:00:12,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_20260616,COMM.CLINIC_ITEM_MAPPING_20260616,诊疗项目与其他平台编码对照表,公共字典/基础资料,dimension,included,active,approved,526,2026-06-16T22:00:11,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_D,COMM.CLINIC_ITEM_MAPPING_D,诊疗项目与其他平台编码对照表,公共字典/基础资料,dimension,included,active,approved,262,2025-05-09T22:00:03,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT,COMM.CLINIC_ITEM_NAME_DICT,临床诊疗项目名称字典,字典,dimension,included,active,approved,20907,2026-04-01T22:02:05,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20250630,COMM.CLINIC_ITEM_NAME_DICT_20250630,,字典,dimension,included,active,approved,21,2025-06-30T22:00:08,14,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20260131,COMM.CLINIC_ITEM_NAME_DICT_20260131,临床诊疗项目名称字典,字典,dimension,included,active,approved,18389,2026-01-31T18:02:16,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20260331,COMM.CLINIC_ITEM_NAME_DICT_20260331,临床诊疗项目名称字典,字典,dimension,included,active,approved,20759,2026-03-31T22:00:12,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_OPER_LOG,COMM.CLINIC_OPER_LOG,临床诊疗项目操作日志表,手术,excluded,excluded,excluded,unreviewed,0,2025-02-06T22:02:17,8,OPER_DATE+ITEM_CODE,present,0,日志类表，23 已确认第一版排除
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_TYPE_CHARGE_DICT,COMM.CLINIC_TYPE_CHARGE_DICT,,费用,dimension,included,active,approved,160,2025-07-01T22:00:06,5,CLINIC_TYPE+REGIST_TYPE+CHARGE_ITEM,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_TYPE_DICT,COMM.CLINIC_TYPE_DICT,号类字典,字典,dimension,included,active,approved,36,2026-06-08T22:03:34,8,CLINIC_TYPE+CHARGE_ITEM,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_TYPE_SETTING,COMM.CLINIC_TYPE_SETTING,,字典,dimension,included,active,approved,36,2025-07-16T22:00:53,7,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_VS_CHARGE,COMM.CLINIC_VS_CHARGE,临床诊疗项目与价表项目对照表,费用,dimension,included,active,approved,23756,2026-05-24T18:06:21,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_VS_CHARGE_20250630,COMM.CLINIC_VS_CHARGE_20250630,,费用,dimension,included,active,approved,21,2025-06-30T22:00:08,12,,missing,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_VS_CHARGE_20260131,COMM.CLINIC_VS_CHARGE_20260131,临床诊疗项目与价表项目对照表,费用,dimension,included,active,approved,21265,2026-01-31T18:02:16,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_VS_CHARGE_20260331,COMM.CLINIC_VS_CHARGE_20260331,临床诊疗项目与价表项目对照表,费用,dimension,included,active,approved,23491,2026-03-31T22:00:12,12,CLINIC_ITEM_CLASS+CLINIC_ITEM_CODE+CHARGE_ITEM_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CONTAGION_DICT,COMM.CONTAGION_DICT,,字典,dimension,included,active,approved,0,2025-02-06T22:02:17,6,CONTAGIONCODE,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COST_CYCLE_DICT,COMM.COST_CYCLE_DICT,,费用,dimension,included,active,approved,0,2025-02-06T22:02:18,4,ID,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COST_DRUG_DEPT_PERCENT,COMM.COST_DRUG_DEPT_PERCENT,,费用,dimension,included,active,approved,0,2025-02-06T22:02:16,4,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COST_REPORT_EXPRESSIONS,COMM.COST_REPORT_EXPRESSIONS,,检查,dimension,included,active,approved,0,2025-02-06T22:02:20,6,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COST_STAFF_DEDUCT_PERCENT,COMM.COST_STAFF_DEDUCT_PERCENT,,费用,dimension,included,active,approved,0,2025-02-06T22:02:16,5,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COST_SUBJECT_PERCENT,COMM.COST_SUBJECT_PERCENT,,费用,dimension,included,active,approved,0,2025-02-06T22:02:19,6,SERIAL_NO,present,0,沿用 25 HIS 源端资产包纳入口径
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,COUNTRY_DICT,COMM.COUNTRY_DICT,国家及地区字典,字典,dimension,included,active,approved,41,2026-01-13T22:00:06,10,COUNTRY_CODE,present,0,沿用 25 HIS 源端资产包纳入口径
