system_code,source_code,source_db,source_owner,namespace_name,schema_name,table_name,full_name,table_comment,domain,table_role,include_status,governance_import_status,review_status,num_rows_stats,last_analyzed,column_count,primary_key,primary_key_status,unique_key_count,scope_note,source_file_name,confirmation_status,activity_status,data_granularity,candidate_relation_fields
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_TYPE_DICT,COMM.BED_TYPE_DICT,床位类型字典,人员字典,dimension,included,active,approved,3,,4,BED_TYPE_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BED_VS_AIRCONDITION,COMM.BED_VS_AIRCONDITION,需要人工确认,人员字典,dimension,included,active,approved,0,,2,BED_CLASS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILLING_GROUP_DICT,COMM.BILLING_GROUP_DICT,收费部门分组字典,费用收费,dimension,included,active,approved,0,,5,GROUP_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一张收据/结算或一条收费明细,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_ITEM_CLASS_DICT,COMM.BILL_ITEM_CLASS_DICT,价表项目分类字典,费用收费,dimension,included,active,approved,14,,7,CLASS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一张收据/结算或一条收费明细,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_PATTERN_DETAIL,COMM.BILL_PATTERN_DETAIL,费用模板明细记录,费用收费,dimension,included,active,approved,26965,,15,DEPT_CODE+PATTERN_NAME+ITEM_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一张收据/结算或一条收费明细,DEPT_CODE
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_PATTERN_MASTER,COMM.BILL_PATTERN_MASTER,费用模板主记录,费用收费,dimension,included,active,approved,4005,,12,DEPT_CODE+PATTERN_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一张收据/结算或一条收费明细,DEPT_CODE
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BILL_UNITS_DICT,COMM.BILL_UNITS_DICT,计价单位字典,费用收费,dimension,included,active,approved,0,,4,BILL_UNITS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一张收据/结算或一条收费明细,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BIRTH_RESULT_DICT,COMM.BIRTH_RESULT_DICT,需要人工确认,检验,dimension,included,active,approved,6,,4,SERIAL_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BIRTH_TYPE_DICT,COMM.BIRTH_TYPE_DICT,需要人工确认,标准映射表,dimension,included,active,approved,8,,4,SERIAL_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BLOOD_TYPE_DICT,COMM.BLOOD_TYPE_DICT,血型字典,标准映射表,dimension,included,active,approved,6,,3,BLOOD_TYPE_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,BREECH_PRESENTATION_DICT,COMM.BREECH_PRESENTATION_DICT,新生儿表中臀位字典表,标准映射表,dimension,included,active,approved,6,,4,SERIAL_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CAT,COMM.CAT,需要人工确认,标准映射表,dimension,included,active,approved,5674,,2,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CDIAG_ITEM_DICT,COMM.CDIAG_ITEM_DICT,需要人工确认,诊断,dimension,included,active,approved,0,,3,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一条诊断,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CEQ$STAFF_DICT,COMM.CEQ$STAFF_DICT,需要人工确认,人员字典,dimension,included,active,approved,0,,17,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,DEPT_CODE
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_PRICE_SCHEDULE,COMM.CHARGE_PRICE_SCHEDULE,收费系数字典,费用收费,dimension,included,active,approved,21,,4,CHARGE_TYPE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_CLINIC_DICT,COMM.CHARGE_SPECIAL_CLINIC_DICT,需要人工确认,费用收费,dimension,included,active,approved,0,,5,ITEM_CODE+FLAG,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_EXCEPT_DICT,COMM.CHARGE_SPECIAL_EXCEPT_DICT,收费特殊项目排斥字典,费用收费,dimension,included,active,approved,0,,7,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_SPECIAL_ITEM_DICT,COMM.CHARGE_SPECIAL_ITEM_DICT,收费特殊项目字典,费用收费,dimension,included,active,approved,18,,11,CHARGE_TYPE+ITEM_CLASS+ITEM_CODE+ITEM_SPEC,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_CONFIGER_PARAMETER,COMM.CHARGE_TYPE_CONFIGER_PARAMETER,费别参数字典,费用收费,dimension,included,active,approved,0,,3,CHARGE_TYPE_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_DICT,COMM.CHARGE_TYPE_DICT,费别字典,费用收费,dimension,included,active,approved,18,,16,CHARGE_TYPE_NAME,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHARGE_TYPE_VS_IDENTITY,COMM.CHARGE_TYPE_VS_IDENTITY,费别与身份对照关系,费用收费,dimension,included,active,approved,51,,3,CHARGE_TYPE+IDENTITY_SERIAL_NO,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CHECK_LABEL_DICT,COMM.CHECK_LABEL_DICT,支票标识字典,检验,dimension,included,active,approved,0,,4,CHECK_LABEL_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLASS_CODING_CONFIG,COMM.CLASS_CODING_CONFIG,层次输入法定义,标准映射表,dimension,included,active,approved,1,,10,ITEM,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLASS_CODING_RULE,COMM.CLASS_CODING_RULE,分层编码描述,标准映射表,dimension,included,active,approved,3,,3,ITEM+CODE_LEVEL,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLG$STAFF_DICT,COMM.CLG$STAFF_DICT,需要人工确认,人员字典,dimension,included,active,approved,0,,3,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLIENT_INSTALLATION,COMM.CLIENT_INSTALLATION,计算机站点,标准映射表,dimension,included,active,approved,720,,8,CLIENT_NAME+LOCATION,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINICAL_DEPT_CONFIG,COMM.CLINICAL_DEPT_CONFIG,临床科室配置情况,科室字典,dimension,included,active,approved,1,,6,DEPT_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,DEPT_CODE
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_CLASS_DICT,COMM.CLINIC_ITEM_CLASS_DICT,诊疗项目分类字典,项目字典,dimension,included,active,approved,11,,4,CLASS_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT,COMM.CLINIC_ITEM_DICT,临床诊疗项目字典,项目字典,dimension,included,active,approved,18916,,32,ITEM_CLASS+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20250630,COMM.CLINIC_ITEM_DICT_20250630,需要人工确认,项目字典,dimension,included,active,approved,21,,29,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20260131,COMM.CLINIC_ITEM_DICT_20260131,临床诊疗项目字典,项目字典,dimension,included,active,approved,16459,,31,ITEM_CLASS+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_DICT_20260331,COMM.CLINIC_ITEM_DICT_20260331,临床诊疗项目字典,项目字典,dimension,included,active,approved,18768,,32,ITEM_CLASS+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING,COMM.CLINIC_ITEM_MAPPING,诊疗项目与其他平台编码对照表,项目字典,dimension,included,active,approved,522,,7,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_0509,COMM.CLINIC_ITEM_MAPPING_0509,诊疗项目与其他平台编码对照表,项目字典,dimension,included,active,approved,524,,7,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_20260507,COMM.CLINIC_ITEM_MAPPING_20260507,诊疗项目与其他平台编码对照表,项目字典,dimension,included,active,approved,410,,7,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_20260616,COMM.CLINIC_ITEM_MAPPING_20260616,诊疗项目与其他平台编码对照表,项目字典,dimension,included,active,approved,526,,7,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_MAPPING_D,COMM.CLINIC_ITEM_MAPPING_D,诊疗项目与其他平台编码对照表,项目字典,dimension,included,active,approved,262,,7,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT,COMM.CLINIC_ITEM_NAME_DICT,临床诊疗项目名称字典,项目字典,dimension,included,active,approved,20907,,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20250630,COMM.CLINIC_ITEM_NAME_DICT_20250630,需要人工确认,项目字典,dimension,included,active,approved,21,,14,需要验证,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20260131,COMM.CLINIC_ITEM_NAME_DICT_20260131,临床诊疗项目名称字典,项目字典,dimension,included,active,approved,18389,,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
HIS_SOURCE,his_ready_10_10_10_15,10.10.10.15:1521/his,COMM,COMM,COMM,CLINIC_ITEM_NAME_DICT_20260331,COMM.CLINIC_ITEM_NAME_DICT_20260331,临床诊疗项目名称字典,项目字典,dimension,included,active,approved,20759,,14,ITEM_CLASS+ITEM_NAME+ITEM_CODE,present,,纳入口径/核心业务域/已验证关系端点/旧文档覆盖,系统表结构/HIS系统数据库表结构.md,已初筛,待活跃度统计,一行一个字典项,
