差异类型,系统,库名,Schema,表名,字段名,来源文件名称,文档内容,实际库内容,风险等级,建议处理,是否需要人工确认
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,INP_SETTLE_MASTER_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,INPBILL,PREPAYMENT_RCPT_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,MEDREC,PAT_MASTER_INDEX_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,ORDADM,GROUP_ORDER_MASTER_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,ORDADM,hp_appointment,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,OUTPBILL,OUTP_PAYMENTS_MONEY_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_PRE_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REC_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
实际库有但文档没有的表,HIS_SOURCE,his_ready_10_10_10_15,PHARMACY,DRUG_DISPENSE_REQ_copy1,,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包无,READY_HIS 活库存在,中,确认是否新增业务表或技术表,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,SERIAL_NO,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,PATTERN_NAME,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,INPUT_CODE,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
文档中有但实际库没有的字段,HIS_SOURCE,his_ready_10_10_10_15,COMM,BILL_PATTERN_MASTER_COPY1,INPUT_CODE_WB,数据资产_HIS源端资产包 / READY_HIS活库元数据,旧资产包存在字段,READY_HIS 未发现字段,高,确认字段是否删除/改名,是
